"Bestaande koopwoningen; gemiddelde verkoopprijzen, regio"
""
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"1995";"2000";"2005";"2010";"2015";"2020";"2021";"2022";"2023";"2024";"2025"
"Nederland";"Gemiddelde verkoopprijs";"euro";"93750";"172050";"222706";"239530";"230194";"334488";"386714";"428591";"416153";"450985";"479527"
"Noord-Nederland (LD)";"Gemiddelde verkoopprijs";"euro";"72907";"128028";"179297";"192257";"181842";"253843";"296338";"332306";"328645";"356207";"385019"
"Oost-Nederland (LD)";"Gemiddelde verkoopprijs";"euro";"94927";"173955";"219537";"230439";"214439";"308009";"358936";"402744";"396409";"426882";"458409"
"West-Nederland (LD)";"Gemiddelde verkoopprijs";"euro";"96079";"179105";"230694";"253528";"247357";"372321";"428808";"472910";"451259";"488736";"515593"
"Zuid-Nederland (LD)";"Gemiddelde verkoopprijs";"euro";"98449";"177334";"227997";"236634";"223102";"316642";"360562";"397814";"393373";"428252";"457041"
"Groningen (PV)";"Gemiddelde verkoopprijs";"euro";"67913";"111768";"168081";"177940";"171679";"241080";"283578";"319184";"313679";"339874";"371220"
"Fryslân (PV)";"Gemiddelde verkoopprijs";"euro";"67992";"125834";"178770";"195349";"180461";"254223";"290253";"325113";"323765";"350624";"375728"
"Drenthe (PV)";"Gemiddelde verkoopprijs";"euro";"84984";"147524";"192449";"205264";"194566";"266616";"316653";"355510";"349757";"380809";"411728"
"Overijssel (PV)";"Gemiddelde verkoopprijs";"euro";"83597";"152617";"198475";"211088";"198713";"282983";"325701";"365460";"365733";"393428";"420923"
"Flevoland (PV)";"Gemiddelde verkoopprijs";"euro";"91262";"155987";"196149";"206530";"194188";"301754";"351576";"405900";"394736";"422630";"454473"
"Gelderland (PV)";"Gemiddelde verkoopprijs";"euro";"101759";"190676";"236534";"245990";"227324";"323723";"379346";"422110";"413316";"446181";"479542"
"Utrecht (PV)";"Gemiddelde verkoopprijs";"euro";"109909";"210598";"257807";"283922";"264382";"404811";"460992";"510098";"476555";"526771";"560526"
"Noord-Holland (PV)";"Gemiddelde verkoopprijs";"euro";"101308";"203428";"247406";"275914";"273911";"424553";"490225";"536786";"507271";"544917";"570463"
"Zuid-Holland (PV)";"Gemiddelde verkoopprijs";"euro";"90469";"159392";"213568";"230543";"221441";"333763";"384214";"425469";"410408";"442913";"469137"
"Zeeland (PV)";"Gemiddelde verkoopprijs";"euro";"75095";"118726";"189534";"197788";"193489";"259014";"294022";"326521";"328452";"345402";"366731"
"Noord-Brabant (PV)";"Gemiddelde verkoopprijs";"euro";"100121";"185790";"244063";"254941";"235669";"337960";"385036";"426539";"418547";"456420";"486894"
"Limburg (PV)";"Gemiddelde verkoopprijs";"euro";"94311";"157384";"191026";"195206";"191829";"263910";"300777";"330567";"329001";"357532";"381845"
"Aa en Hunze";"Gemiddelde verkoopprijs";"euro";"";"182830";"231917";"230392";"241481";"303789";"393780";"407982";"411021";"458471";"497875"
"Aalburg";"Gemiddelde verkoopprijs";"euro";"102023";"212336";"281099";"276192";"230525";"";"";"";"";"";""
"Aalsmeer";"Gemiddelde verkoopprijs";"euro";"115081";"213742";"286247";"305355";"277057";"438060";"538786";"570707";"536574";"575924";"636273"
"Aalten";"Gemiddelde verkoopprijs";"euro";"90191";"153334";"187662";"187353";"168032";"261776";"306386";"319641";"318710";"358565";"404815"
"Ter Aar";"Gemiddelde verkoopprijs";"euro";"128579";"251576";"254626";"";"";"";"";"";"";"";""
"Aarle-Rixtel";"Gemiddelde verkoopprijs";"euro";"118892";"";"";"";"";"";"";"";"";"";""
"Abcoude";"Gemiddelde verkoopprijs";"euro";"174475";"348015";"424482";"483105";"";"";"";"";"";"";""
"Achtkarspelen";"Gemiddelde verkoopprijs";"euro";"61727";"133915";"182002";"188733";"174264";"241065";"295024";"305540";"319773";"336113";"386939"
"Akersloot";"Gemiddelde verkoopprijs";"euro";"125204";"219702";"";"";"";"";"";"";"";"";""
"Alblasserdam";"Gemiddelde verkoopprijs";"euro";"76663";"146283";"203787";"229507";"210548";"292610";"332755";"368461";"359952";"358823";"465391"
"Albrandswaard";"Gemiddelde verkoopprijs";"euro";"116676";"184493";"273306";"283348";"267026";"375789";"452849";"493052";"468361";"547608";"531165"
"Alkemade";"Gemiddelde verkoopprijs";"euro";"118817";"234687";"239278";"";"";"";"";"";"";"";""
"Alkmaar";"Gemiddelde verkoopprijs";"euro";"84638";"141369";"190238";"211926";"194809";"313937";"365446";"399298";"393418";"381336";"424065"
"Almelo";"Gemiddelde verkoopprijs";"euro";"72108";"120928";"163863";"172505";"157127";"222697";"273244";"293519";"306698";"313612";"337477"
"Almere";"Gemiddelde verkoopprijs";"euro";"92546";"157145";"197747";"205853";"194953";"330079";"390714";"439053";"424531";"460849";"493406"
"Alphen aan den Rijn";"Gemiddelde verkoopprijs";"euro";"100965";"181567";"223145";"193252";"210948";"320239";"360031";"411170";"401474";"445481";"459675"
"Alphen en Riel";"Gemiddelde verkoopprijs";"euro";"124220";"";"";"";"";"";"";"";"";"";""
"Alphen-Chaam";"Gemiddelde verkoopprijs";"euro";"";"279094";"291493";"297254";"299679";"390439";"466144";"525868";"461830";"540949";"556205"
"Altena";"Gemiddelde verkoopprijs";"euro";"";"";"";"";"";"319849";"357769";"402772";"404703";"445893";"481068"
"Ambt Delden";"Gemiddelde verkoopprijs";"euro";"97156";"208892";"";"";"";"";"";"";"";"";""
"Ambt Montfort";"Gemiddelde verkoopprijs";"euro";"97791";"169937";"186751";"";"";"";"";"";"";"";""
"Ameland";"Gemiddelde verkoopprijs";"euro";"88893";"161227";"206699";"207460";"178284";"346924";"345157";"388696";"353454";"391851";"452457"
"Amerongen";"Gemiddelde verkoopprijs";"euro";"126682";"265472";"349557";"";"";"";"";"";"";"";""
"Amersfoort";"Gemiddelde verkoopprijs";"euro";"107823";"198085";"240428";"269044";"240857";"379129";"416892";"468507";"466025";"510887";"551639"
"Ammerzoden";"Gemiddelde verkoopprijs";"euro";"105235";"";"";"";"";"";"";"";"";"";""
"Amstelveen";"Gemiddelde verkoopprijs";"euro";"110371";"244012";"286003";"312791";"331763";"534717";"625658";"658372";"615382";"649823";"681691"
"Amsterdam";"Gemiddelde verkoopprijs";"euro";"98008";"224938";"238189";"281206";"303925";"510919";"569890";"620954";"568161";"617647";"630621"
"Andijk";"Gemiddelde verkoopprijs";"euro";"94136";"163622";"219840";"223475";"";"";"";"";"";"";""
"Angerlo";"Gemiddelde verkoopprijs";"euro";"93485";"187234";"";"";"";"";"";"";"";"";""
"Anloo";"Gemiddelde verkoopprijs";"euro";"103300";"";"";"";"";"";"";"";"";"";""
"Anna Paulowna";"Gemiddelde verkoopprijs";"euro";"85235";"174154";"228171";"199918";"";"";"";"";"";"";""
"Apeldoorn";"Gemiddelde verkoopprijs";"euro";"100024";"192227";"243423";"239224";"219569";"316006";"379364";"420466";"407625";"434524";"471143"
"Appingedam";"Gemiddelde verkoopprijs";"euro";"63239";"93688";"162537";"167311";"146925";"204754";"";"";"";"";""
"Arcen en Velden";"Gemiddelde verkoopprijs";"euro";"119162";"188990";"227055";"";"";"";"";"";"";"";""
"Arnemuiden";"Gemiddelde verkoopprijs";"euro";"65405";"";"";"";"";"";"";"";"";"";""
"Arnhem";"Gemiddelde verkoopprijs";"euro";"80240";"149386";"188779";"204498";"199528";"279571";"344738";"383699";"369114";"403201";"407247"
"Assen";"Gemiddelde verkoopprijs";"euro";"75013";"120177";"168939";"186206";"183838";"250572";"301082";"330027";"334100";"361465";"376755"
"Asten";"Gemiddelde verkoopprijs";"euro";"99123";"205914";"282994";"292281";"264697";"342335";"379682";"429888";"439900";"471246";"528110"
"Avereest";"Gemiddelde verkoopprijs";"euro";"87413";"167291";"";"";"";"";"";"";"";"";""
"Axel";"Gemiddelde verkoopprijs";"euro";"63721";"91784";"";"";"";"";"";"";"";"";""
"Baarle-Nassau";"Gemiddelde verkoopprijs";"euro";"118689";"205439";"299513";"268023";"254242";"314453";"366251";"426396";"391221";"417733";"465201"
"Baarn";"Gemiddelde verkoopprijs";"euro";"129014";"273732";"329046";"339479";"297817";"473873";"529145";"600665";"539068";"567286";"610602"
"Bakel en Milheeze";"Gemiddelde verkoopprijs";"euro";"117550";"";"";"";"";"";"";"";"";"";""
"Barendrecht";"Gemiddelde verkoopprijs";"euro";"114830";"198794";"255391";"266941";"257575";"376908";"433258";"493806";"466518";"515747";"547450"
"Barneveld";"Gemiddelde verkoopprijs";"euro";"128470";"246961";"292103";"309841";"266307";"389922";"451336";"518412";"488905";"519477";"533904"
"Bathmen";"Gemiddelde verkoopprijs";"euro";"126772";"185860";"";"";"";"";"";"";"";"";""
"Bedum";"Gemiddelde verkoopprijs";"euro";"79343";"121041";"185464";"188139";"178920";"";"";"";"";"";""
"Beek (L.)";"Gemiddelde verkoopprijs";"euro";"92607";"161134";"185888";"181157";"187159";"255888";"297820";"328742";"331369";"365677";"376436"
"Beek en Donk";"Gemiddelde verkoopprijs";"euro";"99289";"";"";"";"";"";"";"";"";"";""
